GEO_ID,PopTot_10E,PopTot_10M,PopTot_10C,LFTot_10E,LFTot_10M,LFTot_10C,LF2554_10E,LF2554_10M,LF2554_10C,LFO65_10E,LFO65_10M,LFO65_10C,PopTot_18E,PopTot_18M,PopTot_18C,PopFB_18E,PopFB_18M,PopFB_18C,PopFBP_18E,PopFBP_18M,PopFBP_18C,LFTot_18E,LFTot_18M,LFTot_18C,LF2554_18E,LF2554_18M,LF2554_18C,LFO65_18E,LFO65_18M,LFO65_18C,HouTot_18E,HouTot_18M,HouTot_18C,HouO_18E,HouO_18M,HouO_18C,HouR_18E,HouR_18M,HouR_18C,HouV_18E,HouV_18M,HouV_18C,Hou1U_18E,Hou1U_18M,Hou1U_18C,Hou24U_18E,Hou24U_18M,Hou24U_18C,Hou5U_18E,Hou5U_18M,Hou5U_18C,PopTot_1018E,PopTot_1018M,PopTot_1018C,LFTot_1018E,LFTot_1018M,LFTot_1018C,LF2554_1018E,LF2554_1018M,LF2554_1018C,LFO65_1018E,LFO65_1018M,LFO65_1018C
1600000US3676089,30056.0,1369.882111716187,2.7706783441247804,15940.0,892.2163414777831,3.4026396154186984,9925.0,671.9337764988452,4.115570587912966,507.0,181.55715353573927,21.769051340292354,31828.0,1137.0,2.171626901892505,11561.0,867.0,4.55887615026834,0.36323363076536386,0.023951052322020584,4.008414693175126,15573.0,751.0,2.931580006468213,9194.0,599.8474806148643,3.9661618923856397,807.0,150.12328267127654,11.308594077752533,8488.0,130.0,0.9310480162947727,5582.0,246.0,2.679041077540815,2382.0,228.0,5.818716360546041,524.0,155.0,17.98185572751108,6037.0,229.53213282675696,2.311300504304076,680.0,185.5505322007997,16.58774648675127,1771.0,204.26942992038727,7.011628754396217,1772.0,1780.2657105050357,61.07383721466088,-367.0,1166.2122448336752,193.17264683396556,-731.0,900.7285939726794,74.90497623463543,300.0,235.58437978779494,47.73746297625024
1600000US3601011,5717.0,409.0,4.348998055710771,2720.0,335.0,7.487037368138745,1817.0,268.3430640057611,8.977792112177998,178.0,147.14618581533128,50.25312858691004,5254.0,257.0,2.9735630574707588,1316.0,227.0,10.485860256279969,0.2504758279406167,0.04143156419237413,10.05540591211896,2654.0,201.0,4.603935563226236,1583.0,176.75972391922318,6.787916595561241,215.0,79.64295323504773,22.5186833208589,1851.0,45.0,1.477883473814368,1718.0,79.0,2.795361822434371,77.0,44.0,34.73729917498915,56.0,53.0,57.533651758575765,1784.0,77.6659513557904,2.6464879085893656,33.0,28.600699292150182,52.68619193543369,34.0,28.61817604250837,51.16784559719001,-463.0,483.0424411995285,63.42177567988978,-66.0,390.6737769546351,359.83584503512486,-234.0,321.3284923563424,83.47712372544161,37.0,167.3170642821586,274.8986515767002
1600000US3601594,894.0,233.0,15.843550043178773,436.0,174.0,24.260338529321544,243.0,272.8516080216497,68.25812301190783,91.0,217.5890622251036,145.35492984074526,750.0,222.0,17.99392097264438,119.0,80.0,40.86741079410488,0.15866666666666668,0.09577074314563225,36.69283408302428,392.0,151.0,23.41666149742572,159.0,71.30217387990355,27.260872045995505,114.0,65.25335240430181,34.79622055367238,1836.0,154.0,5.098966300468178,304.0,85.0,16.997280435130378,54.0,40.0,45.029832263874816,1478.0,132.0,5.429171927890725,1767.0,158.11388300841898,5.4396073577361035,6.0,15.0,151.97568389057753,63.0,37.14835124201342,35.845371970872215,-144.0,321.8275935963229,135.86102397683337,-44.0,230.38446128157167,318.2985096457193,-84.0,282.0141840404485,204.09189755423975,23.0,227.1629371178318,600.4042212708652
1600000US3602044,9537.0,28.0,0.17847621469796246,4484.0,863.0,11.699822943583264,2809.0,370.9056483797463,8.026862167517269,254.0,91.43850392476902,21.88414042188666,9452.0,26.0,0.16721827258379243,1159.0,307.0,16.102341658121585,0.12261955141768938,0.032478147032492875,16.10147337743326,5166.0,437.0,5.1423440851864015,2980.0,377.8240331159467,7.70739138564996,442.0,119.87493482792806,16.48694588399346,3603.0,265.0,4.471113653178245,2425.0,241.0,6.0414251245573904,996.0,193.0,11.779641361799783,182.0,100.0,33.40124920672033,2633.0,248.69660230891776,5.7418664971,322.0,136.88316185711082,25.842126877439792,648.0,185.05404615949362,17.3603180381528,-85.0,38.2099463490856,27.326977542703805,682.0,967.335515733812,86.22373991512644,171.0,529.4544361888,188.22035094431112,188.0,150.7680337472105,48.751223484191456
1600000US3602374,2261.0,466.0,12.52908778292952,1211.0,327.0,16.414879812458743,646.0,203.39862339750482,19.140337395193693,59.0,253.13632690706405,260.8173993169482,1690.0,434.0,15.611230013848672,214.0,225.0,63.91500724370081,0.12662721893491125,0.12910371359258715,61.979171085268945,1078.0,359.0,20.244627278930363,731.0,291.21641437254186,24.217681934023997,102.0,65.16133823057964,38.83505466987285,1145.0,230.0,12.211146653216707,585.0,196.0,20.36733951627569,207.0,172.0,50.51172488730305,353.0,145.0,24.970508967856926,919.0,199.36148073286373,13.187419967710623,123.0,152.47294842036735,75.35668491381489,0.0,20.784609690826528,0.0,-571.0,636.7982412036013,67.79534025025164,-133.0,485.6027182790475,221.95430138220055,85.0,355.2154275928905,254.04285899723976,43.0,261.3885995983758,369.5321970712883
1600000US3602737,677.0,119.0,10.685439517269556,296.0,59.0,12.116980202086584,163.0,41.677331968349414,15.543413567176762,40.0,124.99199974398361,189.957446419428,443.0,83.0,11.389599785930413,28.0,16.0,34.73729917498915,0.06320541760722348,0.034120813991087684,32.81702257501485,222.0,56.0,15.334483419589803,108.0,26.664583251946766,15.00877139026611,42.0,17.86057109949175,25.851166738300407,304.0,49.0,9.798432250839866,150.0,29.0,11.752786220871327,23.0,15.0,39.64583058015066,131.0,42.0,19.4900113691733,304.0,50.35871324805669,10.070131428582764,0.0,16.97056274847714,0.0,0.0,20.784609690826528,0.0,-234.0,145.08618128546908,37.69157542552388,-74.0,81.34494452638098,66.82407338074509,-55.0,49.47726750741192,54.68612048346164,2.0,126.26163312740731,3837.7396087357843
1600000US3602968,1858.0,232.0,7.59060466364133,893.0,147.0,10.006909532772628,490.0,91.40021881811882,11.339274091944521,150.0,52.96225070746144,21.463931391068467,1398.0,241.0,10.479582208191468,161.0,68.0,25.675395042383283,0.11516452074391989,0.04440487185310258,23.439374294639283,772.0,158.0,12.441532670834842,340.0,72.2564875980005,12.919093080279008,83.0,28.705400188814647,21.02420638577262,910.0,105.0,7.01426233341127,504.0,90.0,10.855405992184107,97.0,42.0,26.32156174599693,309.0,68.0,13.37779482790844,851.0,101.51354589413178,7.251511427223598,36.0,23.53720459187964,39.745364052481655,23.0,20.199009876724155,53.3871015639597,-460.0,334.5220471060166,44.20801468296771,-121.0,215.8077848456816,108.42160558953083,-150.0,116.51180197731045,47.21856209820079,-67.0,60.241181927316134,54.6578795330183
1600000US3603408,12264.0,28.0,0.13879057889550456,6835.0,360.0,3.2018285998892697,4651.0,421.37275659444333,5.507496268011041,232.0,72.22188034107116,18.924085614996113,12089.0,21.0,0.10559978035245686,1049.0,256.0,14.83537657806972,0.08677309951195301,0.021175739472805825,14.835000738103425,6883.0,308.0,2.7202388864331177,4347.0,332.26946895554516,4.6465957930046455,455.0,108.5679510721281,14.50522075849268,4670.0,200.0,2.6034378396672806,3332.0,189.0,3.448187785752599,992.0,142.0,8.701833513089518,346.0,143.0,25.124303810812236,3631.0,179.98055450520204,3.013237990408531,568.0,166.6043216726385,17.83084910234155,463.0,107.56393447619885,14.122766742100723,-175.0,35.0,12.158054711246201,48.0,473.77631853016885,600.0206668315208,-304.0,536.6171819835813,107.30626739393323,223.0,130.3955520713801,35.54610439881149
1600000US3604055,1764.0,297.0,10.235097078345017,1019.0,296.0,17.65841116059311,660.0,193.05698640556886,17.78179850838803,67.0,220.2680185592089,199.85303140154141,1654.0,211.0,7.754986529845673,123.0,85.0,42.009538636419805,0.0743651753325272,0.05050735054902704,41.28754679521126,759.0,127.0,10.171758552887137,391.0,86.20904824900923,13.403252240612757,90.0,43.89760813529594,29.650528966765243,1238.0,52.0,2.5533879038158416,585.0,57.0,5.923154859325072,72.0,38.0,32.08375548801081,581.0,68.0,7.114868505720668,1019.0,65.80273550544841,3.925580267050563,43.0,27.730849247724095,39.20385841199419,176.0,67.86751800382861,23.441391960427122,-110.0,364.3212867785795,201.33809714207214,-260.0,322.09470656935673,75.30855893601981,-269.0,211.4308397561718,47.78044084387109,23.0,224.59964381093752,593.6292951260407
1600000US3604143,23711.0,757.0,1.9407969753307268,13287.0,553.0,2.530068584074339,9262.0,596.534156607985,3.915296325397857,588.0,140.0749799214692,14.481626441853193,25134.0,945.0,2.2856214096697025,6709.0,732.0,6.632654679260858,0.26692925917084426,0.02734003221180933,6.226398868204673,13656.0,665.0,2.9602762093507335,9106.0,600.8577202632916,4.011234920182169,681.0,195.9668339286013,17.49321210347748,8175.0,114.0,0.847717576196983,6667.0,305.0,2.7810159643993484,1227.0,281.0,13.921814889405795,281.0,135.0,29.205291566160803,6843.0,246.75899173079793,2.192100922077298,403.0,141.4496376806954,21.33687883136286,929.0,254.98431324299148,16.685216528083043,1423.0,1210.8154277180317,51.72579134018552,369.0,864.8895883290537,142.48475520449645,-156.0,846.6894353893877,329.9389897082798,93.0,240.88171371027732,157.45446528109116
