subreg,GDP18,GDPr0818,GDPpr0818
CT,151743841000.0,-13037049000.0,-0.009261198005722893
INJ,411778561000.0,23109037000.0,0.006488769632184477
LI,186308461000.0,12540122000.0,0.008068137959858834
LowHud,109802749000.0,12864856000.0,0.014665466488102963
MidHud,41701341000.0,2814753000.0,0.007978244894682796
NYC,993017596000.0,210159771000.0,0.02911741742373075
ONJ,106761804000.0,2207989000.0,0.0023606933042281675
