GEO_ID,Hou1U_18C,Hou1U_18E,Hou1U_18M,Hou24U_18C,Hou24U_18E,Hou24U_18M,Hou5U_18C,Hou5U_18E,Hou5U_18M,HouO_18C,HouO_18E,HouO_18M,HouR_18C,HouR_18E,HouR_18M,HouTot_18C,HouTot_18E,HouTot_18M,HouV_18C,HouV_18E,HouV_18M,LF2554_10C,LF2554_10E,LF2554_10M,LF2554_1018C,LF2554_1018E,LF2554_1018M,LF2554_18C,LF2554_18E,LF2554_18M,LFO65_10C,LFO65_10E,LFO65_10M,LFO65_1018C,LFO65_1018E,LFO65_1018M,LFO65_18C,LFO65_18E,LFO65_18M,LFTot_10C,LFTot_10E,LFTot_10M,LFTot_1018C,LFTot_1018E,LFTot_1018M,LFTot_18C,LFTot_18E,LFTot_18M,PopFBP_18C,PopFBP_18E,PopFBP_18M,PopFB_18C,PopFB_18E,PopFB_18M,PopP_1018E,PopTot_10E,PopTot_1018E,PopTot_18E
CT,0.7988935835513263,520135.0,6835.5098566237175,2.4537864497006767,153969.0,6214.9259046267,2.43281890279243,153108.0,6127.362401555828,0.7672993842738537,488755.0,6169.102203724623,1.491398651730688,266016.0,6526.305616503107,0.08646335704416307,830648.0,1181.4491102032284,3.861788546268632,75877.0,4820.194290689951,0.1905734025351534,694888.0,2178.4269553969443,4.722116316530142,-40909.0,3177.7625776637246,0.21505718032467339,653979.0,2313.5753715839905,1.4510473572535982,52789.0,1260.0591255968905,5.802795890095504,20731.0,1978.8981782800247,1.2616736778068394,73520.0,1525.8731926343028,0.20162627944662198,1048784.0,3478.5567409487517,11.943467731946885,25470.0,5004.092025532704,0.20356541232898984,1074254.0,3597.301766602296,0.0,0.41816031204714316,0.0,0.8846446816332488,324399.0,4720.785633769024,-0.022606502790193026,1969233.0,13321.0,1982554.0
INJ,0.6595037204721993,996643.0,10812.416658638345,1.4601452174413487,430532.0,10341.115510427297,1.2939083908260085,532867.0,11341.96380703095,0.6008328867841145,1040516.0,10284.149016812233,0.8055257742796142,800771.0,10610.935632638622,0.06538636280052716,1965651.0,2114.265357044853,3.1938635921255876,124364.0,6533.967171634703,0.12987975380806252,1826521.0,3902.402208896464,12.534941775726374,-26423.0,5448.417109583296,0.1284013585270233,1800098.0,3802.1712218152406,1.04679719068716,114020.0,1963.403167971367,4.31188921828057,42732.0,3031.0054437430495,0.895504531489681,156752.0,2309.121477965159,0.14488112992610225,2625715.0,6257.852347251412,5.395478774877873,96574.0,8571.485810523167,0.13080008682463548,2722289.0,5857.444237890789,0.0,2.3620904471828528,0.0,0.34884029171547964,1543003.0,8854.403593692801,0.2176071383252852,4986654.0,142320.0,5128974.0
ONJ,0.70067264345855,673686.0,7764.948615412725,4.503086072777698,54258.0,4019.202906049905,3.091924446710912,112584.0,5726.265100394847,0.689072855854006,557428.0,6318.584889039634,1.999613201938085,183725.0,6043.383489403928,0.0881844984716423,850691.0,1234.0421386646406,2.8326778405906463,109538.0,5104.20248422807,0.19903027141325516,666934.0,2183.573905321274,3.1756795642276576,-58345.0,3047.9386476764917,0.21240862959335582,608589.0,2126.4841875734696,1.5787321169732083,46182.0,1199.3531589986328,4.724156515271371,24497.0,1903.720042443216,1.2715667885876507,70679.0,1478.411985882149,0.2101159023500773,1003550.0,3468.6768370662608,61.43590621476935,4899.0,4951.030599784251,0.21296321214220723,1008449.0,3532.8437553902663,0.0,0.6976944146203667,0.0,0.9045777417012081,243775.0,3627.446071273838,-0.07365388221546164,1959766.0,4342.0,1964108.0
NYC,1.0474435190301545,559901.0,9647.343883162868,1.0263081015640636,778833.0,13148.85706059656,0.5025461089249993,2173992.0,17972.13857614057,0.7124940085067134,1042956.0,12223.993373689304,0.45104971636088836,2141540.0,15889.729607516925,0.063951270305879,3519453.0,3702.4589126687147,2.1407258754619938,334957.0,11795.490875754174,0.12116253467949838,2926143.0,5832.164949656345,3.4717181439749742,144210.0,8235.79898977628,0.11513187684078985,3070353.0,5815.001031814181,1.0325948995394394,139858.0,2375.654015213495,3.4328975878739265,69221.0,3908.990534652137,0.902573925445301,209079.0,3104.26722432203,0.12973831265992744,4108407.0,8768.142676758858,3.0862879382864383,248369.0,12609.554195133149,0.12644298519131314,4356776.0,9062.037905460338,0.0,1.7113582297290126,0.0,0.23235555654820975,3127289.0,11953.276956550451,0.12964106085952207,8175133.0,223615.0,8398748.0
MidHud,1.0245249163202614,284765.0,4799.268381743201,4.560418198560125,47388.0,3554.994655410891,4.3731337024030745,51687.0,3718.261959571972,1.1282862382244239,225260.0,4180.895119469035,2.2601775741220886,109124.0,4057.2217094953044,0.22707520900141326,401793.0,1500.8524244575146,3.6266592578761117,67409.0,4021.5228458881097,0.31890947263242686,313744.0,1645.9201074171249,4.969145735093574,-28193.0,2304.564817921162,0.3434007354735386,285551.0,1613.0610651801128,2.4500893998834274,20278.0,817.2839163962545,7.906257791843718,9575.0,1245.3047819710644,1.9133080736139778,29853.0,939.5908684102884,0.3222853326197627,476756.0,2527.566616332792,28.803125512995997,-7827.0,3708.5219427691136,0.3518032747011021,468929.0,2713.768965848051,0.0,0.393778464147192,0.0,1.4013425780239908,95161.0,2193.6594995577593,-0.03592232256551323,930341.0,-575.0,929766.0
LI,0.528410134362694,857955.0,7457.642321806537,4.183527385318176,74609.0,5134.518672670302,3.0010552595477074,111726.0,5515.6175538193365,0.5680755516486222,751580.0,7023.396970127775,2.107580451906982,192327.0,6667.919090690888,0.059839094321065,1050299.0,1033.8650782379682,3.1010922018763507,106392.0,5427.371555366372,0.17509604259670616,986860.0,2842.482365820411,4.073037709685253,-58512.0,3920.390031616753,0.1767989447152133,928348.0,2699.954073683477,1.2259113592151978,72535.0,1462.7583532490935,4.819084688433932,29134.0,2309.5670589961223,1.0686679319824246,101669.0,1787.2990796170627,0.1895740196787405,1464672.0,4567.568828162308,11.982927403589814,32983.0,6501.581115390317,0.1878058286380579,1497655.0,4626.864164852908,0.0,0.3773908929410531,0.0,0.6090474174877464,532342.0,5333.444009268308,0.005835243363187026,2832882.0,6554.0,2839436.0
LowHud,1.201673476016203,286181.0,5657.091125304594,3.9541405246072103,77430.0,5036.481708494532,2.2862111439470056,155842.0,5860.932946212573,0.9708585470338741,311954.0,4982.099758134114,1.8828037913046796,175471.0,5434.709283853185,0.16790505451878682,521266.0,1439.7565766475943,6.146407388663767,33841.0,3421.609416634225,0.27150520756780566,457594.0,2043.7340825068216,15.71054494869718,-10873.0,2810.001423487184,0.26243752915309465,446721.0,1928.5380473301532,1.6729571979658453,39838.0,1096.3475726246672,7.774368845750327,13307.0,1701.8105064900733,1.4888522094826915,53145.0,1301.6070835701532,0.2948641612905782,684797.0,3321.6184308255515,7.406766937939693,35839.0,4366.6709287511,0.23911237755841866,720636.0,2834.548641318402,0.0,0.5935420559959467,0.0,0.8287350208849619,327826.0,4469.150590436621,0.056229561331603256,1360510.0,31689.0,1392199.0
