GEO_ID,PopTot_10E,PopTot_18E,PopTot_1018E,PopP_1018E,LFTot_10E,LFTot_10M,LFTot_10C,LF2554_10E,LF2554_10M,LF2554_10C,LFO65_10E,LFO65_10M,LFO65_10C,PopFB_18E,PopFB_18M,PopFB_18C,PopFBP_18E,PopFBP_18M,PopFBP_18C,LFTot_18E,LFTot_18M,LFTot_18C,LF2554_18E,LF2554_18M,LF2554_18C,LFO65_18E,LFO65_18M,LFO65_18C,HouTot_18E,HouTot_18M,HouTot_18C,HouO_18E,HouO_18M,HouO_18C,HouR_18E,HouR_18M,HouR_18C,HouV_18E,HouV_18M,HouV_18C,Hou1U_18E,Hou1U_18M,Hou1U_18C,Hou24U_18E,Hou24U_18M,Hou24U_18C,Hou5U_18E,Hou5U_18M,Hou5U_18C,LFTot_1018E,LFTot_1018M,LFTot_1018C,LF2554_1018E,LF2554_1018M,LF2554_1018C,LFO65_1018E,LFO65_1018M,LFO65_1018C
0500000US09001,916829.0,943823.0,26994.0,0.029442785950269897,475682.0,2304.0,0.29444206481127355,320032.0,1467.318302209851,0.2787180062787511,25310.0,849.4633600103067,2.040265113829383,205009.0,3336.0,0.9892070718045872,0.21709052171445273,0.0,0.0,511280.0,2316.0,0.27536823962648843,313972.0,1492.3766280667894,0.28894928041069184,35348.0,985.4065150992254,1.6946682023586679,374480.0,821.0,0.13327498021166861,227097.0,3985.0,1.0667214455566587,118537.0,4348.0,2.2298194607801145,28846.0,3145.0,6.627796239837291,235227.0,4490.525581710898,1.1604972155554374,62217.0,4283.318339792176,4.185095610594976,75646.0,4091.517444665243,3.2880055088344573,35598.0,3266.8443489092037,5.578750537553173,-6060.0,2092.8953628884556,20.994666936395475,10038.0,1301.0049961472093,7.878905121917924
0500000US09005,189927.0,181111.0,-8816.0,-0.046417834220516305,107531.0,846.0,0.47826739664442286,69780.0,643.3459411545238,0.5604639689606534,5955.0,390.6212999824766,3.987569384185613,14451.0,920.0,3.870116370613281,0.07895383842081397,0.0,0.0,102813.0,932.0,0.5510639214341309,58280.0,612.1756283943358,0.6385436498721566,8350.0,465.7338295636253,3.390669090247167,88402.0,310.0,0.21317373817822685,57188.0,1861.0,1.9782244367375306,16410.0,1469.0,5.44185934516169,14804.0,1632.0,6.7015486654802086,68315.0,2074.4179906662976,1.8459260356081575,12073.0,1890.10581714358,9.517108396784707,7663.0,1332.8604578124448,10.573528884601567,-4718.0,1258.7056844234874,16.2181142185008,-11500.0,888.0613717531013,4.694390758573286,2395.0,607.8593587335807,15.428783591285816
0500000US09009,862477.0,857620.0,-4857.0,-0.005631454519946619,465571.0,2465.0,0.32185858723182803,305076.0,1476.017276321656,0.29411521719609696,21524.0,844.7342777465586,2.385784604466573,104939.0,3211.0,1.8601050933309615,0.12211595191187645,0.0,0.0,460161.0,2590.0,0.342155916104664,281727.0,1658.5186161149957,0.35787056395635586,29822.0,1067.8740562444618,2.1767941788848115,367766.0,791.0,0.13074918938395264,204470.0,4326.0,1.286148204647407,131069.0,4640.0,2.1520486865766264,32227.0,3268.0,6.1644774251951135,216593.0,4717.644009460654,1.3240818949644153,79679.0,4087.295927627458,3.1183603903882093,69799.0,4362.056625033655,3.799060380572296,-5410.0,3575.5174450700138,40.176836153582684,-23349.0,2220.2051706993207,5.780413708414503,8298.0,1361.5913483861448,9.974874733693802
0500000US34003,905116.0,936692.0,31576.0,0.03488613614166582,475551.0,2700.0,0.3451443454052745,321307.0,1700.2182212880793,0.3216759385179621,27134.0,916.8833077333232,2.05416035587273,285118.0,3886.0,0.8285376687529855,0.3065788242783057,0.0,0.0,498649.0,2516.0,0.3067254286431482,314606.0,1571.0932499377623,0.3035771359925258,37423.0,1186.5268644240634,1.927405410313332,359241.0,765.0,0.12945225982144778,220204.0,4694.0,1.295841783405153,119749.0,4846.0,2.4600595049102325,19288.0,2715.0,8.556905469990003,208425.0,4556.414379750815,1.3289465111219703,72351.0,4416.514575997684,3.710814352807574,76981.0,4429.002257845439,3.4974897550770843,23098.0,3690.5631006663466,9.712976901291857,-6701.0,2314.9678183508295,21.000974026476378,10289.0,1499.5069189570283,8.859503917082211
0500000US34013,783969.0,799767.0,15798.0,0.020151307003210585,399973.0,2710.0,0.4118819053720777,278122.0,1768.6622063017007,0.3865837990149915,16367.0,755.3793748839056,2.8056283276059997,209992.0,3292.0,0.9529962119848017,0.2646218598584849,0.0,0.0,411611.0,2517.0,0.3717323359702083,276750.0,1609.976086778931,0.35364367383660894,22372.0,847.2307831990054,2.3021362004258616,318814.0,1023.0,0.1950618537706133,129988.0,3573.0,1.6709515294982107,159933.0,4054.0,1.540918815985197,28893.0,2684.0,5.647080407881632,128316.0,4129.815613317379,1.9565184456370006,93475.0,5088.454480488157,3.3092114452773935,97023.0,4662.89920543003,2.9215641472972766,11638.0,3698.565803118825,19.31919805269931,-1372.0,2391.691660728866,105.97054687890977,6005.0,1135.0762088952442,11.490689966013571
0500000US34017,634266.0,676061.0,41795.0,0.06589506610791056,352106.0,2380.0,0.41090140771196676,259205.0,1438.9270308115001,0.3374655883585823,11149.0,660.1961829638218,3.599740475661518,285998.0,3365.0,0.7152472063326224,0.427736673890382,0.0,0.0,375306.0,2372.0,0.38420523219820607,277526.0,1521.2189191566085,0.333213155648279,13210.0,747.1693248521382,3.438351828204838,284124.0,576.0,0.12323914054563873,87480.0,3917.0,2.721942175580211,176444.0,4104.0,1.4139516372037138,20200.0,2237.0,6.732071383430137,40503.0,2902.028256237351,4.355605549331669,99210.0,4476.006478994417,2.7426434663595702,143810.0,5494.384405918465,2.322544545294995,23200.0,3360.176185856926,8.804570238593769,18321.0,2093.9479458668498,6.947855927173942,2061.0,997.0561669234086,29.408693419796762
0500000US34019,128349.0,124714.0,-3635.0,-0.028321217929239806,69179.0,1119.0,0.9833087513468319,46005.0,643.3700334954993,0.8501389052075407,3174.0,318.97805567154614,6.109251185478252,11270.0,711.0,3.835127284692125,0.09012322972227331,0.0,0.0,69156.0,806.0,0.7084990526682022,39473.0,478.6167569151753,0.7370922803300894,4871.0,372.75326960336645,4.651975616540376,50454.0,266.0,0.320494168271246,39678.0,1211.0,1.8553611894902904,8055.0,1040.0,7.848775232586001,2721.0,974.0,21.760281677239618,42804.0,1331.1818057650878,1.8905454192490714,3749.0,896.8623082725687,14.542679397749328,3762.0,888.450899037195,14.356505367823086,-23.0,1379.0565615666385,3644.922853354403,-6532.0,801.8721843286497,7.462649945265019,1697.0,490.60370972914586,17.574504255825886
0500000US34021,366513.0,369811.0,3298.0,0.008998316567215897,192465.0,1650.0,0.5211542429417356,128885.0,1110.9878487184278,0.5240117565367717,8328.0,528.9026375430548,3.8607271879027847,81167.0,2092.0,1.56680981531454,0.2201067355096241,0.0,0.0,193843.0,1698.0,0.5325025123346226,121703.0,1010.5745890333875,0.5047788938342962,11970.0,651.6663256606098,3.309521654493934,145132.0,796.0,0.3334141178427905,83219.0,2504.0,1.8291357140172608,49761.0,2937.0,3.5879711708898623,12152.0,1969.0,9.849905252815901,99628.0,3959.325826450761,2.415872044888908,13353.0,2052.763259608862,9.345318662308332,31578.0,3314.2988700477813,6.3803006826686905,1378.0,2367.6367964702695,104.447959752704,-7182.0,1501.8505251855127,12.712044592954125,3642.0,839.2895805382072,14.00896298567051
0500000US34023,809858.0,829685.0,19827.0,0.024482069696168958,426415.0,2239.0,0.3191947339854396,296916.0,1384.85775442823,0.28353433876301676,15786.0,725.4116072961612,2.7934860033193245,270276.0,3345.0,0.7523548707454333,0.3269343823258312,0.0,0.0,429947.0,2053.0,0.2902739910057338,288740.0,1458.9742972376175,0.30716716298602426,23158.0,866.10853823294,2.2735544938495456,302255.0,1191.0,0.23953686723287,179541.0,4379.0,1.4826730824866496,105939.0,4362.0,2.503017521897315,16775.0,2730.0,9.893141389479025,188071.0,4730.893890164944,1.5291689508144735,37228.0,3180.941527284021,5.194216869291149,74788.0,4556.368071172477,3.703573587600304,3532.0,3037.750812690205,52.28360784232746,-8176.0,2011.57575050009,14.956487298432139,7372.0,1129.763692105566,9.31614811407961
0500000US34025,630380.0,621354.0,-9026.0,-0.014318347663314192,332855.0,1979.0,0.3614305068807173,222930.0,1127.957002726611,0.3075800240228641,15308.0,722.4313116137755,2.868878825358517,83067.0,2180.0,1.5953723663137416,0.13325109442449073,0.0,0.0,333518.0,2003.0,0.36508649588067416,201220.0,1167.8039218978502,0.35280349802310773,23088.0,870.9552227296189,2.293208863693764,262157.0,512.0,0.1187251153346669,175902.0,3378.0,1.1674088075914333,60425.0,3307.0,3.3269910575168544,25830.0,2650.0,6.236710217731791,196813.0,4478.303696713746,1.3832282765422466,17519.0,2361.7123025466076,8.195053195554795,44867.0,3498.1672344243348,4.7396648567120465,663.0,2815.750344046858,258.1753147521268,-21710.0,1623.5926213185376,4.546229368670293,7780.0,1131.5785434515803,8.841769820923265
